event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-Mar-26 16:47:36.985042,2010-Mar-26 16:47:36.985042,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.2151,0,-1.96544,45.2151,0,-14.3633,-19.2592,0,0,0,-0,-18.9427,53.3458,-0,-9.94269,2.34579,0,7.03456,-5.78492,0,7.03456,-5.78492,0,-5.36334,-70.2592,0,9,-51,-0,-16.9772,8.13071,-0,-16.9772,8.13071,-0,-4.57935,72.605,-0,-18.9427,53.3458,2010-Mar-26 16:49:45.384780,2010-Mar-26 16:51:22.432833,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.2151,0,-1.96544,45.2151,0,-14.3633,-19.2592,0,0,0,-0,-13.9289,46.9954,-0,-4.92894,-4.00459,0,7.03456,-5.78492,0,7.03456,-5.78492,0,-5.36334,-70.2592,0,9,-51,-0,-11.9635,1.78033,-0,-11.9635,1.78033,-0,0.434402,66.2546,-0,-13.9289,46.9954,2010-Mar-26 16:49:45.384780,2010-Mar-26 16:54:01.493289,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.2151,0,-1.96544,45.2151,0,-14.3633,-19.2592,0,0,0,-0,36.2724,89.8894,-0,45.2724,38.8894,0,7.03456,-5.78492,0,7.03456,-5.78492,0,-5.36334,-70.2592,0,9,-51,-0,38.2379,44.6743,-0,38.2379,44.6743,-0,50.6358,109.149,-0,36.2724,89.8894,2010-Mar-26 16:49:45.384780,2010-Mar-26 16:54:44.609360,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.2151,0,-1.96544,45.2151,0,-14.3633,-19.2592,0,0,0,-0,-13.78,49.4146,-0,-4.78005,-1.58543,0,7.03456,-5.78492,0,7.03456,-5.78492,0,-5.36334,-70.2592,0,9,-51,-0,-11.8146,4.19949,-0,-11.8146,4.19949,-0,0.583295,68.6737,-0,-13.78,49.4146,2010-Mar-26 16:49:45.384780,2010-Mar-26 16:54:59.013316,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.2151,0,-1.96544,45.2151,0,-14.3633,-19.2592,0,0,0,-0,-14.4986,48.7617,-0,-5.49862,-2.2383,0,7.03456,-5.78492,0,7.03456,-5.78492,0,-5.36334,-70.2592,0,9,-51,-0,-12.5332,3.54662,-0,-12.5332,3.54662,-0,-0.135283,68.0209,-0,-14.4986,48.7617,2010-Mar-26 16:49:45.384780,2010-Mar-26 16:55:40.382975,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
1,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,-0,1.2464,46.984,-0,-7.7536,-4.01596,0,-9,-51,0,-9,-51,0,-9,-51,0,-9,-51,-0,1.2464,46.984,-0,1.2464,46.984,-0,1.2464,46.984,-0,1.2464,46.984,2010-Mar-26 16:56:33.696135,2010-Mar-26 16:56:39.568970,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
0,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,-1.96544,45.0492,0,-1.96544,45.0492,0,-10.7826,50.5798,0,0,0,-0,-12.0408,48.2977,-0,-3.04082,-2.70228,0,7.03456,-5.95084,0,7.03456,-5.95084,0,-1.7826,-0.42019,0,9,-51,-0,-10.0754,3.24856,-0,-10.0754,3.24856,-0,-1.25822,-2.28209,-0,-12.0408,48.2977,2010-Mar-26 16:56:53.096652,2010-Mar-26 16:56:57.342917,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
2,-36,0,45,0,36,0,45,3.14159,4,0,27.5196,27.5541,0,-1.96544,45.0492,0,-1.96544,45.0492,0,22.3114,30.3119,0,0,0,-0,17.2911,32.3712,-0,-10.2284,4.81717,0,-29.485,17.4951,0,-29.485,17.4951,0,-5.20816,2.75784,0,-27.5196,-27.5541,-0,19.2566,-12.6779,-0,19.2566,-12.6779,-0,-5.02025,2.05933,-0,17.2911,32.3712,2010-Mar-26 16:57:11.160808,2010-Mar-26 16:58:43.565265,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
3,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,-1.96544,45.0492,0,-1.96544,45.0492,0,6.14003,49.8377,0,0,0,-0,0.31435,46.8341,-0,-8.68565,-4.16588,0,-10.9654,-5.95084,0,-10.9654,-5.95084,0,-2.85997,-1.16225,0,-9,-51,-0,2.27979,1.78496,-0,2.27979,1.78496,-0,-5.82568,-3.00363,-0,0.31435,46.8341,2010-Mar-26 16:58:49.961298,2010-Mar-26 16:58:57.320020,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
