"event_index","robot_pose_x","robot_pose_y","robot_pose_z","robot_pose_th","human_pose_x","human_pose_y","human_pose_z","human_pose_th","modality","target_desired_x","target_desired_y","target_desired_z","target_head_actual_x","target_head_actual_y","target_head_actual_z","target_eyes_actual_x","target_eyes_actual_y","target_eyes_actual_z","target_arms_actual_x","target_arms_actual_y","target_arms_actual_z","target_body_actual_x","target_body_actual_y","target_body_actual_z","target_perceived_x","target_perceived_y","target_perceived_z","target_perceived_error_x","target_perceived_error_y","target_perceived_error_z","target_head_actual_error_x","target_head_actual_error_y","target_head_actual_error_z","target_eyes_actual_error_x","target_eyes_actual_error_y","target_eyes_actual_error_z","target_arms_actual_error_x","target_arms_actual_error_y","target_arms_actual_error_z","target_body_actual_error_x","target_body_actual_error_y","target_body_actual_error_z","target_head_perceived_error_x","target_head_perceived_error_y","target_head_perceived_error_z","target_eyes_perceived_error_x","target_eyes_perceived_error_y","target_eyes_perceived_error_z","target_arms_perceived_error_x","target_arms_perceived_error_y","target_arms_perceived_error_z","target_body_perceived_error_x","target_body_perceived_error_y","target_body_perceived_error_z","t_event_start","t_event_stop","t_experiment_start","t_experiment_stop","point_type"
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2010-Jul-27 11:46:16.020517","2010-Jul-27 11:46:16.020517","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517",
0,-36,0,45,0,36,0,45,3.14159,1,0,62.3372,48.0783,0,36.1969,47.0267,0,36.1969,47.0267,0,-15.8146,-36.1121,0,0,0,0,33.906,30.3036,0,-28.4312,-17.7747,0,-24.5324333333333,-3.19274666666667,0,-26.1403,-1.05158,0,-79.1929666666667,-84.4126666666667,0,-62.3372,-48.0783,0,-2.29086,-16.7231,0,-2.29086,-16.7231,0,49.7207,66.4157,0,33.906,30.3036,"2010-Jul-27 11:46:22.501838","2010-Jul-27 11:46:30.497300","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
1,-36,0,45,0,36,0,45,3.14159,1,0,51.5498,47.9569,0,34.0416,46.967,0,34.0416,46.967,0,-15.8123,-37.5735,0,0,0,0,33.8651,30.2818,0,-17.6847,-17.6751,0,-15.9223333333333,-3.06780066666667,0,-17.5082,-0.989922,0,-68.4049333333333,-86.2314,0,-51.5498,-47.9569,0,-0.176583,-16.6851,0,-0.176583,-16.6851,0,49.6774,67.8554,0,33.8651,30.2818,"2010-Jul-27 11:46:34.711563","2010-Jul-27 11:46:39.472423","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
2,-36,0,45,0,36,0,45,3.14159,1,0,40.8919,47.941,0,29.7091,46.853,0,29.7091,46.853,0,-15.8165,-34.9756,0,0,0,0,33.9198,30.3026,0,-6.97215,-17.6384,0,-10.03941,-3.01413666666667,0,-11.1828,-1.08798,0,-57.7488,-83.1042666666667,0,-40.8919,-47.941,0,4.21065,-16.5505,0,4.21065,-16.5505,0,49.7363,65.2781,0,33.9198,30.3026,"2010-Jul-27 11:46:43.948996","2010-Jul-27 11:46:46.627541","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
3,-36,0,45,0,36,0,45,3.14159,1,0,29.8511,48.518,0,23.7979,46.7132,0,23.7979,46.7132,0,-15.8165,-34.9756,0,0,0,0,33.9096,30.286,0,4.05851,-18.232,0,-6.00025,-2.62146666666667,0,-6.05321,-1.80476,0,-46.7075333333333,-84.7532666666667,0,-29.8511,-48.518,0,10.1117,-16.4272,0,10.1117,-16.4272,0,49.7261,65.2616,0,33.9096,30.286,"2010-Jul-27 11:46:51.968044","2010-Jul-27 11:46:56.316038","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
4,-36,0,45,0,36,0,45,3.14159,1,0,15.438,48.8474,0,12.4329,46.512,0,12.4329,46.512,0,-15.8123,-37.5735,0,0,0,0,33.7424,30.2857,0,18.3044,-18.5617,0,-3.04623,-2.95926666666667,0,-3.00513,-2.33538,0,-32.2935666666667,-85.0678,0,-15.438,-48.8474,0,21.3096,-16.2264,0,21.3096,-16.2264,0,49.5548,67.8592,0,33.7424,30.2857,"2010-Jul-27 11:47:00.973175","2010-Jul-27 11:47:25.710413","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
5,-36,0,45,0,36,0,45,3.14159,1,0,2.68881,48.5273,0,2.69871,46.4332,0,2.69871,46.4332,0,-15.8142,-36.4007,0,0,0,0,33.932,30.2964,0,31.2432,-18.2309,0,-0.138125156666667,-2.70389,0,0.00989853,-2.0941,0,-19.5450666666667,-83.8858666666667,0,-2.68881,-48.5273,0,31.2333,-16.1368,0,31.2333,-16.1368,0,49.7462,66.6971,0,33.932,30.2964,"2010-Jul-27 11:47:30.226355","2010-Jul-27 11:47:32.926518","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
6,-36,0,45,0,36,0,45,3.14159,1,0,-8.5563,48.9418,0,-5.74839,46.4473,0,-5.74839,46.4473,0,-15.8165,-34.9756,0,0,0,0,33.8997,30.3302,0,42.456,-18.6116,0,2.80791,-2.4945,0,2.80791,-2.4945,0,-8.30062666666667,-83.9174,0,8.5563,-48.9418,0,39.6481,-16.1171,0,39.6481,-16.1171,0,49.7163,65.3058,0,33.8997,30.3302,"2010-Jul-27 11:47:37.754795","2010-Jul-27 11:47:42.231457","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
7,-36,0,45,0,36,0,45,3.14159,1,0,-19.9362,49.4044,0,-16.6379,46.5744,0,-16.6379,46.5744,0,-15.8165,-34.9756,0,0,0,0,33.9899,30.2789,0,53.9261,-19.1255,0,3.29829,-2.82995,0,3.29829,-2.82995,0,3.07983,-85.6471,0,19.9362,-49.4044,0,50.6278,-16.2956,0,50.6278,-16.2956,0,49.8064,65.2545,0,33.9899,30.2789,"2010-Jul-27 11:47:47.214478","2010-Jul-27 11:47:51.198996","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
8,-36,0,45,0,36,0,45,3.14159,1,0,-31.3695,49.5096,0,-26.8901,46.7839,0,-26.8901,46.7839,0,-15.8123,-37.5735,0,0,0,0,33.8974,30.3204,0,65.2669,-19.1892,0,4.70615333333333,-2.73105,0,4.47938,-2.72572,0,14.5144,-87.4842333333333,0,31.3695,-49.5096,0,60.7876,-16.4634,0,60.7876,-16.4634,0,49.7097,67.894,0,33.8974,30.3204,"2010-Jul-27 11:47:56.431516","2010-Jul-27 11:48:00.207947","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
9,-36,0,45,0,36,0,45,3.14159,1,0,-42.6948,49.5173,0,-36.6939,47.0408,0,-36.6939,47.0408,0,-15.8151,-35.8253,0,0,0,0,33.8691,30.3111,0,76.5639,-19.2062,0,6.84766666666667,-2.50031333333333,0,6.00093,-2.47654,0,25.8383333333333,-84.8699666666667,0,42.6948,-49.5173,0,70.5629,-16.7297,0,70.5629,-16.7297,0,49.6842,66.1363,0,33.8691,30.3111,"2010-Jul-27 11:48:04.846960","2010-Jul-27 11:48:08.886980","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
10,-36,0,45,0,36,0,45,3.14159,1,0,-52.2023,50.7358,0,-43.7596,47.2496,0,-43.7596,47.2496,0,-15.8165,-34.9756,0,0,0,0,34.0016,30.2973,0,86.2039,-20.4385,0,7.79578666666667,-3.4663,0,8.44274,-3.48622,0,35.3458333333333,-87.2560666666667,0,52.2023,-50.7358,0,77.7612,-16.9523,0,77.7612,-16.9523,0,49.8181,65.2729,0,34.0016,30.2973,"2010-Jul-27 11:48:13.254275","2010-Jul-27 11:48:16.230427","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
11,-36,0,45,0,36,0,45,3.14159,1,0,-65.0671,51.9857,0,-54.2774,47.5857,0,-54.2774,47.5857,0,-15.8142,-36.4007,0,0,0,0,34.0523,30.2827,0,99.1194,-21.703,0,11.208,-4.41382666666667,0,10.7897,-4.40001,0,48.2114333333333,-88.6021666666667,0,65.0671,-51.9857,0,88.3298,-17.303,0,88.3298,-17.303,0,49.8665,66.6834,0,34.0523,30.2827,"2010-Jul-27 11:48:21.123057","2010-Jul-27 11:48:25.836487","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
12,-36,0,45,0,36,0,45,3.14159,4,0,62.3372,48.0783,0,-2.39038,46.4323,0,-2.39038,46.4323,0,61.2639,43.0136,0,0,0,0,33.8848,30.2683,0,-28.4524,-17.81,0,-64.6906,-1.64605333333333,0,-64.7276,-1.64596,0,-0.582634,-5.15854,0,-62.3372,-48.0783,0,36.2752,-16.1641,0,36.2752,-16.1641,0,-27.3791,-12.7454,0,33.8848,30.2683,"2010-Jul-27 11:48:29.748648","2010-Jul-27 11:48:34.699442","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
13,-36,0,45,0,36,0,45,3.14159,4,0,51.5498,47.9569,0,-2.39038,46.4323,0,-2.39038,46.4323,0,50.4304,43.6924,0,0,0,0,33.9219,30.2857,0,-17.6279,-17.6712,0,-53.8662333333333,-1.52474666666667,0,-53.9402,-1.52456,0,-0.702764733333333,-4.71704,0,-51.5498,-47.9569,0,36.3123,-16.1466,0,36.3123,-16.1466,0,-16.5085,-13.4066,0,33.9219,30.2857,"2010-Jul-27 11:48:42.667303","2010-Jul-27 11:48:48.947007","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
14,-36,0,45,0,36,0,45,3.14159,4,0,40.8919,47.941,0,-2.33492,46.4322,0,-2.33492,46.4322,0,40.114,43.9764,0,0,0,0,33.8759,30.2951,0,-7.01599,-17.6459,0,-43.1529,-1.50898333333333,0,-43.2268,-1.5088,0,-0.995851666666667,-4.13505333333333,0,-40.8919,-47.941,0,36.2108,-16.1371,0,36.2108,-16.1371,0,-6.23809,-13.6812,0,33.8759,30.2951,"2010-Jul-27 11:48:53.483300","2010-Jul-27 11:48:58.122838","2010-Jul-27 11:46:19.039930","2010-Jul-27 11:46:16.020517","SALIENT"
