event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop,point_type
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-Jul-27 11:24:03.666035,2010-Jul-27 11:24:03.666035,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,
0,-36,0,45,0,36,0,45,3.14159,1,-0,62.3372,48.0783,0,38.8462,43.8516,0,38.8462,43.8516,0,-17.8013,-34.4179,0,0,0,-0,34.0471,30.3318,0,-28.2901,-17.7465,0,-23.491,-4.22672,0,-23.491,-4.22672,0,-80.1385,-82.4962,0,-62.3372,-48.0783,-0,-4.79908,-13.5197,-0,-4.79908,-13.5197,-0,51.8484,64.7497,-0,34.0471,30.3318,2010-Jul-27 11:24:14.398005,2010-Jul-27 11:24:21.105609,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
1,-36,0,45,0,36,0,45,3.14159,1,-0,51.5498,47.9569,0,36.1969,43.893,0,36.1969,43.893,0,-17.8019,-38.4731,0,0,0,-0,33.9779,30.2856,0,-17.5719,-17.6713,0,-15.3529,-4.06387,0,-15.3529,-4.06387,0,-69.3517,-86.43,0,-51.5498,-47.9569,-0,-2.21903,-13.6075,-0,-2.21903,-13.6075,-0,51.7798,68.7587,-0,33.9779,30.2856,2010-Jul-27 11:24:27.636988,2010-Jul-27 11:24:32.692491,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
2,-36,0,45,0,36,0,45,3.14159,1,-0,40.8919,47.941,0,30.8404,43.9721,0,30.8404,43.9721,0,-17.8014,-35.2571,0,0,0,-0,33.9813,30.2996,0,-6.91062,-17.6414,0,-10.0515,-3.96889,0,-10.0515,-3.96889,0,-58.6933,-83.1981,0,-40.8919,-47.941,-0,3.14087,-13.6725,-0,3.14087,-13.6725,-0,51.7827,65.5567,-0,33.9813,30.2996,2010-Jul-27 11:24:36.999807,2010-Jul-27 11:24:39.757156,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
3,-36,0,45,0,36,0,45,3.14159,1,-0,29.8511,48.518,0,23.8773,45.3888,0,23.8773,45.3888,0,-17.8014,-35.2571,0,0,0,-0,33.9345,30.2204,0,4.08339,-18.2976,0,-5.97377,-3.12923,0,-5.97377,-3.12923,0,-47.6525,-83.7751,0,-29.8511,-48.518,-0,10.0572,-15.1683,-0,10.0572,-15.1683,-0,51.7359,65.4775,-0,33.9345,30.2204,2010-Jul-27 11:24:45.291549,2010-Jul-27 11:24:48.550562,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
4,-36,0,45,0,36,0,45,3.14159,1,-0,15.438,48.8474,0,12.4947,45.5768,0,12.4947,45.5768,0,-17.8015,-36.1121,0,0,0,-0,33.9052,30.2779,0,18.4672,-18.5695,0,-2.94329,-3.2706,0,-2.94329,-3.2706,0,-33.2395,-84.9595,0,-15.438,-48.8474,-0,21.4105,-15.2989,-0,21.4105,-15.2989,-0,51.7067,66.39,-0,33.9052,30.2779,2010-Jul-27 11:24:53.259503,2010-Jul-27 11:24:56.777063,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
5,-36,0,45,0,36,0,45,3.14159,1,-0,2.68881,48.5273,0,2.47667,45.4908,0,2.47667,45.4908,0,-17.8014,-35.2571,0,0,0,-0,34.0149,30.3051,0,31.3261,-18.2222,0,-0.212137,-3.03647,0,-0.212137,-3.03647,0,-20.4902,-83.7844,0,-2.68881,-48.5273,-0,31.5383,-15.1858,-0,31.5383,-15.1858,-0,51.8163,65.5621,-0,34.0149,30.3051,2010-Jul-27 11:25:01.186990,2010-Jul-27 11:25:06.808104,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
6,-36,0,45,0,36,0,45,3.14159,1,-0,-8.5563,48.9418,0,-5.74839,46.4473,0,-5.74839,46.4473,0,-17.8014,-34.9756,0,0,0,-0,33.9912,30.2834,0,42.5475,-18.6584,0,2.80791,-2.4945,0,2.80791,-2.4945,0,-9.24506,-83.9174,0,8.5563,-48.9418,-0,39.7396,-16.1639,-0,39.7396,-16.1639,-0,51.7925,65.259,-0,33.9912,30.2834,2010-Jul-27 11:25:11.860779,2010-Jul-27 11:25:15.818322,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
7,-36,0,45,0,36,0,45,3.14159,1,-0,-19.9362,49.4044,0,-16.6379,46.5744,0,-16.6379,46.5744,0,-17.8014,-34.9756,0,0,0,-0,33.903,30.2999,0,53.8392,-19.1045,0,3.29829,-2.82995,0,3.29829,-2.82995,0,2.13484,-84.38,0,19.9362,-49.4044,-0,50.5409,-16.2745,-0,50.5409,-16.2745,-0,51.7044,65.2755,-0,33.903,30.2999,2010-Jul-27 11:25:20.435818,2010-Jul-27 11:25:25.996533,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
8,-36,0,45,0,36,0,45,3.14159,1,-0,-31.3695,49.5096,0,-26.9763,46.7859,0,-26.9763,46.7859,0,-17.8018,-37.5735,0,0,0,-0,34.1735,30.338,0,65.543,-19.1716,0,4.39325,-2.72367,0,4.39325,-2.72367,0,13.5677,-87.0831,0,31.3695,-49.5096,-0,61.1497,-16.4479,-0,61.1497,-16.4479,-0,51.9752,67.9115,-0,34.1735,30.338,2010-Jul-27 11:25:30.491438,2010-Jul-27 11:25:34.997379,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
9,-36,0,45,0,36,0,45,3.14159,1,-0,-42.6948,49.5173,0,-35.8042,47.0157,0,-35.8042,47.0157,0,-17.8014,-35.2571,0,0,0,-0,33.9509,30.2833,0,76.6457,-19.234,0,6.89062,-2.50161,0,6.89062,-2.50161,0,24.8934,-84.7744,0,42.6948,-49.5173,-0,69.7551,-16.7324,-0,69.7551,-16.7324,-0,51.7523,65.5404,-0,33.9509,30.2833,2010-Jul-27 11:25:39.728519,2010-Jul-27 11:25:44.115698,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
10,-36,0,45,0,36,0,45,3.14159,1,-0,-52.2023,50.7358,0,-44.73,47.2795,0,-44.73,47.2795,0,-17.8015,-36.1121,0,0,0,-0,33.9089,30.3152,0,86.1112,-20.4206,0,7.47231,-3.45634,0,7.47231,-3.45634,0,34.4008,-86.8479,0,52.2023,-50.7358,-0,78.6389,-16.9643,-0,78.6389,-16.9643,-0,51.7105,66.4272,-0,33.9089,30.3152,2010-Jul-27 11:25:48.552995,2010-Jul-27 11:25:53.678468,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
11,-36,0,45,0,36,0,45,3.14159,1,-0,-65.0671,51.9857,0,-53.7389,47.5679,0,-53.7389,47.5679,0,-17.8014,-34.9756,0,0,0,-0,33.8394,30.2844,0,98.9065,-21.7013,0,11.3282,-4.4178,0,11.3282,-4.4178,0,47.2657,-86.9613,0,65.0671,-51.9857,-0,87.5783,-17.2835,-0,87.5783,-17.2835,-0,51.6408,65.26,-0,33.8394,30.2844,2010-Jul-27 11:25:58.306489,2010-Jul-27 11:26:03.628427,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
12,-36,0,45,0,36,0,45,3.14159,4,-0,62.3372,48.0783,0,-2.33492,46.4322,0,-2.33492,46.4322,0,62.4604,43.07,0,0,0,-0,33.9993,30.2747,0,-28.3379,-17.8036,0,-64.6721,-1.6461,0,-64.6721,-1.6461,0,0.123187,-5.00827,0,-62.3372,-48.0783,-0,36.3342,-16.1575,-0,36.3342,-16.1575,-0,-28.4611,-12.7953,-0,33.9993,30.2747,2010-Jul-27 11:26:08.267650,2010-Jul-27 11:26:13.987685,2010-Jul-27 11:24:10.668277,2010-Jul-27 11:24:03.666035,SALIENT
